Comment,Designator,Footprint,LCSC
1k,"R1,R5",C_0402_1005Metric,C11702
100n,"C11,C12,C13,C14,C15,C16,C5,C6,C7,C9",C_0402_1005Metric,C1525
10u,C17,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
TYPE-C-31-M-12,J1,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,C165948
RP2040,U3,RP2040-QFN-56,C2040
27,"R3,R4",C_0603_1608Metric,C25190
10k,R2,C_0402_1005Metric,C25741
5.1k,"R6,R7",R_0402_1005Metric,C25905
LED_RGB_WS2812B,"LED1,LED2,LED3,LED4,LED5,LED6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
SW_MEC_5E,"SW48,SW49",SMD-SW-4_5.1x5.1x1.5,C318884
1u,"C1,C10,C4,C8",C_0402_1005Metric,C52923
XC6206P332MR,U1,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D5,D6,D7,D8,D9",D_SOD-123,C81598
SRV05-4,U4,SOT-23-6,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
